2025-06-02,587.76,592.79,585.06,592.71
2025-06-03,592.34,597.08,591.85,596.09
2025-06-04,596.96,597.95,595.49,595.93
2025-06-05,597.63,599,591.05,593.05
2025-06-06,598.66,600.83,596.86,599.14
2025-06-09,599.72,601.25,598.49,599.68
2025-06-10,600.22,603.47,599.09,603.08
2025-06-11,604.19,605.06,599.27,601.36
2025-06-12,600.01,603.75,599.52,603.75
2025-06-13,598.5,601.85,595.48,597
2025-06-16,600.4,604.45,600.22,602.68
2025-06-17,600.21,601.75,596.76,597.53
2025-06-18,598.44,601.22,596.47,597.44
2025-06-20,598.38,599.46,592.86,594.28
2025-06-23,595.04,600.54,591.89,600.15
2025-06-24,604.33,607.8499,603.41,606.78
2025-06-25,607.91,608.61,605.54,607.12
2025-06-26,608.99,612.31,608.37,611.87
2025-06-27,612.88,616.39,610.83,614.91
2025-06-30,617.38,619.22,615.04,617.85
2025-07-01,616.36,618.83,615.52,617.65
2025-07-02,617.24,620.49,616.61,620.45
2025-07-03,622.45,626.28,622.43,625.34
2025-07-07,623.36,624.03,617.87,620.68
2025-07-08,621.35,622.11,619.52,620.34
2025-07-09,622.77,624.72,620.9105,624.06
2025-07-10,624.2,626.8701,623.01,625.82
2025-07-11,622.74,624.86,621.53,623.62
2025-07-14,623.16,625.1581,621.7999,624.81
2025-07-15,627.52,627.86,622.06,622.14
2025-07-16,623.74,624.73,618.05,624.22
2025-07-17,624.4,628.4048,624.18,628.04
2025-07-18,629.3,629.47,626.46,627.58
2025-07-21,628.77,631.54,628.34,628.77
2025-07-22,629.1,629.73,626.19,628.86
2025-07-23,631.55,634.21,629.73,634.21
2025-07-24,634.6,636.15,633.99,634.42
2025-07-25,635.09,637.5799,634.84,637.1
2025-07-28,637.48,638.04,635.54,636.94
2025-07-29,638.35,638.67,634.335,635.26
2025-07-30,635.92,637.68,631.54,634.46
2025-07-31,639.455,639.85,630.765,632.08
2025-08-01,626.3,626.34,619.29,621.72
2025-08-04,625.67,631.215,625.58,631.17
2025-08-05,631.79,632.6052,627.04,627.97
2025-08-06,629.05,633.44,628.13,632.78
2025-08-07,636.24,636.98,629.11,632.25
2025-08-08,634.06,637.645,633.74,637.18
2025-08-11,637.46,638.95,634.66,635.92
2025-08-12,638.29,642.85,636.79,642.69
2025-08-13,644.91,646.19,642.68,644.89
2025-08-14,642.79,645.62,642.34,644.95
2025-08-15,645.99,646.09,642.5153,643.44
2025-08-18,642.86,644,642.18,643.3
2025-08-19,643.12,644.105,638.48,639.81
2025-08-20,639.4,639.66,632.95,638.11
2025-08-21,636.28,637.97,633.81,635.55
2025-08-22,637.76,646.5,637.25,645.31
2025-08-25,644.04,645.29,642.35,642.47
2025-08-26,642.2,645.51,641.57,645.16
2025-08-27,644.57,647.37,644.42,646.63
2025-08-28,647.24,649.48,645.34,648.92
2025-08-29,647.47,647.84,643.14,645.05
2025-09-02,637.5,640.49,634.92,640.27
2025-09-03,642.67,644.21,640.46,643.74
2025-09-04,644.42,649.15,643.51,649.12
2025-09-05,651.48,652.21,643.33,647.24
2025-09-08,648.62,649.84,647.23,648.83
2025-09-09,648.97,650.86,647.22,650.33
2025-09-10,653.62,654.55,650.63,652.21
2025-09-11,654.18,658.33,653.59,657.63
2025-09-12,657.6,659.11,656.9,657.41
2025-09-15,659.64,661.04,659.34,660.91
2025-09-16,661.47,661.78,659.21,660
2025-09-17,660.01,661.72,654.3,659.18
2025-09-18,661.89,664.89,660.27,662.26
2025-09-19,662.33,664.55,660.37,663.7
2025-09-22,662.2,667.29,662.17,666.84
2025-09-23,666.72,667.34,661.98,663.21
2025-09-24,664.51,664.61,659.67,661.1
2025-09-25,657.94,659.4056,654.405,658.05
2025-09-26,659.51,662.37,657.88,661.82
2025-09-29,664.36,665.28,661.86,663.68
2025-09-30,662.93,666.65,661.61,666.18
2025-10-01,663.17,669.37,663.06,668.45
2025-10-02,670.45,670.565,666.78,669.22
2025-10-03,669.99,672.675,668.16,669.21
2025-10-06,671.62,672.51,669.455,671.61
2025-10-07,672.54,672.99,667.67,669.12
2025-10-08,670.25,673.2056,669.42,673.11
2025-10-09,673.53,673.94,669.21,671.16
2025-10-10,672.13,673.95,652.84,653.02
2025-10-13,660.65,665.13,659.7679,663.04
2025-10-14,657.17,665.83,653.17,662.23
2025-10-15,666.82,670.23,658.93,665.17
2025-10-16,666.82,668.71,657.11,660.64
2025-10-17,659.5,665.755,658.14,664.39
2025-10-20,667.32,672.21,667.27,671.3
2025-10-21,671.44,672.99,669.981,671.29
2025-10-22,672,672,663.3,667.8
2025-10-23,668.12,672.7101,667.8,671.76
2025-10-24,676.46,678.47,675.65,677.25
2025-10-27,682.73,685.54,682.115,685.24
2025-10-28,687.05,688.905,684.83,687.06
2025-10-29,688.72,689.7,682.87,687.39
2025-10-30,683.9,685.94,679.83,679.83
2025-10-31,685.04,685.08,679.24,682.06
2025-11-03,685.67,685.8,679.94,683.34
2025-11-04,676.11,679.96,674.58,675.24
2025-11-05,674.98,680.86,674.17,677.58
2025-11-06,676.47,677.38,668.72,670.31
2025-11-07,667.91,671.08,661.205,670.97
2025-11-10,677.235,682.18,675.03,681.44
2025-11-11,679.95,683.57,678.73,683
2025-11-12,684.79,684.96,680.945,683.38
2025-11-13,680.5,680.86,670.52,672.04
2025-11-14,665.38,675.66,663.265,671.93
2025-11-17,669.7,673.71,662.17,665.67
2025-11-18,662.095,665.12,655.86,660.08
2025-11-19,660.78,667.34,658.745,662.63
2025-11-20,672.91,675.56,651.89,652.53
2025-11-21,655.05,664.55,650.85,659.03
2025-11-24,662.69,670.06,661.59,668.73
2025-11-25,668.63,676.21,664.48,675.02
2025-11-26,677.63,681.7,676.72,679.68
2025-11-28,680.86,683.665,680.5,683.39
2025-12-01,678.81,682.99,678.74,680.27
2025-12-02,681.92,683.82,679.3275,681.53
2025-12-03,680.57,684.91,679.69,683.89
2025-12-04,685.3,685.37,681.34,684.39
2025-12-05,685.47,688.39,684.58,685.69
2025-12-08,686.59,686.64,681.57,683.63
2025-12-09,683.15,685.385,682.59,683.04
2025-12-10,682.56,688.97,681.31,687.57
2025-12-11,685.14,689.25,682.165,689.17
2025-12-12,688.17,688.88,679.1744,681.76
2025-12-15,685.74,685.76,679.25,680.73
2025-12-16,679.23,681.08,674.98,678.87
2025-12-17,679.89,680.435,671.195,671.4
2025-12-18,677.6,680.74,674.9,676.47
2025-12-19,676.59,681.09,676.47,680.59
2025-12-22,683.94,685.36,680.5868,684.83
2025-12-23,683.92,688.2,683.87,687.96
2025-12-24,687.95,690.83,687.8,690.38
2025-12-26,690.64,691.66,689.27,690.31
2025-12-29,687.54,689.2,686.07,687.85
2025-12-30,687.445,688.555,686.58,687.01
2025-12-31,687.14,687.36,681.71,681.92
2026-01-02,685.71,686.87,679.82,683.17
2026-01-05,686.54,689.43,686.375,687.72
2026-01-06,687.93,692.315,687.78,691.81
2026-01-07,692.19,693.96,689.32,689.58
2026-01-08,688.82,690.615,687.49,689.51
2026-01-09,690.63,695.31,689.18,694.07
2026-01-12,690.68,696.09,690.63,695.16
2026-01-13,695.49,696.09,691.35,693.77
2026-01-14,691,691.72,686.04,690.36
2026-01-15,694.57,695.45,691.25,692.24
2026-01-16,693.66,694.25,690.1,691.66
2026-01-20,681.49,684.77,676.57,677.58
2026-01-21,679.65,688.735,678.13,685.4
2026-01-22,689.85,691.125,686.92,688.98
2026-01-23,688.15,690.96,687.16,689.23
2026-01-26,690.49,694.13,689.92,692.73
2026-01-27,694.18,696.53,693.57,695.49
2026-01-28,697.05,697.84,693.94,695.42
2026-01-29,696.39,697.06,684.83,694.04
2026-01-30,691.79,694.21,687.12,691.97
2026-02-02,689.58,696.93,69.005,695.41
2026-02-03,696.21,696.96,684.03,689.53
2026-02-04,690.35,691.45,681.76,686.19
2026-02-05,680.94,683.69,675.79,677.62
2026-02-06,681.46,692.31,680.85,690.62
2026-02-09,689.42,695.87,688.34,693.95
2026-02-10,694.95,696.54,691.66,692.12
2026-02-11,696.39,697.14,689.18,691.96
2026-02-12,694.24,695.35,680.37,681.27
2026-02-13,681.69,686.28,677.52,681.75
2026-02-17,680.14,684.94,675.78,682.85
